New ID,pro Relationship Start Date,pro Relationship End Date
1271185,01/13/2017,02/22/2017
1271185,02/22/2017,
1271432,07/13/2014,10/09/2014
1271432,10/01/2014,05/01/2015
1271432,10/09/2014,10/16/2014
1274964,11/13/2015,12/02/2015
1282312,06/08/2015,07/31/2015
1282946,11/13/2014,12/05/2014
1282946,02/10/2016,04/21/2016
1284903,09/12/2013,07/30/2014
1286894,11/05/2015,12/30/2015
1286894,12/30/2015,10/24/2016
1286894,12/28/2016,01/13/2017
1290746,12/16/2016,02/22/2017
1290746,02/22/2017,03/20/2017
1291151,02/27/2017,03/01/2017
1295893,01/16/2017,03/01/2017
1295893,03/01/2017,03/30/2017
1316053,05/20/2011,12/03/2012
1316053,12/03/2012,03/25/2013
1317306,02/08/2017,03/01/2017
1317306,10/30/2017,
1317328,12/13/2016,01/31/2017
1322191,10/21/2013,11/05/2013
1322191,11/21/2013,12/09/2013
1322191,12/09/2013,01/10/2014
1322191,11/24/2014,12/19/2014
1327506,11/25/2016,02/28/2017
1332195,08/02/2011,06/29/2012
1332195,09/02/2011,07/16/2012
1332195,06/29/2012,07/16/2012
1332195,07/16/2012,07/16/2012
1332195,07/16/2012,08/31/2012
1332195,07/16/2012,02/01/2013
1332195,01/24/2013,12/21/2015
1332195,11/04/2014,11/10/2014
1332195,12/21/2015,09/15/2016
1332195,09/27/2016,11/16/2016
1332195,11/17/2016,02/16/2017
1332195,02/16/2017,03/14/2017
1332195,07/10/2017,
1333768,05/16/2012,05/24/2012
1355992,07/24/2015,08/20/2015
1355992,11/10/2017,
1381623,09/19/2014,10/16/2014
1381623,11/08/2016,01/10/2017
1402894,12/09/2016,02/08/2017
1424339,04/28/2016,09/19/2016
1428926,10/09/2014,12/01/2014
1435096,02/21/2013,08/19/2013
1435096,02/25/2014,04/24/2014
1435096,07/28/2015,10/13/2015
1435096,10/13/2015,10/16/2015
1435096,10/19/2015,12/14/2015
1439653,05/22/2013,06/27/2013
