"New ID","Assessment Actual Start Date","Assessment Completed"
33258294,07/10/2013,09/13/2013
33306516,07/03/2013,08/20/2013
33368952,08/23/2013,10/10/2013
33410936,09/05/2013,10/28/2013
33533087,10/11/2013,10/31/2013
33807068,09/25/2013,01/20/2014
33863965,01/22/2014,03/31/2014
33927467,01/17/2014,03/18/2014
33941092,10/21/2013,12/24/2013
33941092,01/10/2014,01/27/2014
33971560,05/01/2013,08/21/2013
33995022,03/19/2014,03/25/2014
34038518,07/31/2013,12/17/2013
34086751,10/23/2013,12/09/2013
34097005,07/30/2013,08/13/2013
34154998,12/20/2103,01/21/2014
34201538,12/12/2013,02/17/2014
34218604,10/01/2013,12/10/2013
34248383,08/14/2013,09/18/2013
34270750,06/18/2013,08/05/2013
34343275,07/25/2013,11/06/2013
34428061,11/28/2013,01/17/2014
34475770,11/20/2013,03/03/2014
34653207,07/12/2013,11/04/2013
34659178,08/20/2013,09/19/2013
34729882,07/04/2013,08/07/2013
34734542,12/10/2013,01/31/2014
34774331,06/27/2013,08/30/2013
34855543,10/10/2013,12/14/2013
34901087,10/23/2013,12/13/2013
35144480,01/03/2014,03/07/2014
35163428,02/17/2014,03/06/2014
35168191,06/12/2013,07/31/2013
35198914,05/31/2013,09/23/2013
35202143,11/14/2013,01/10/2014
35226435,10/11/2013,10/21/2013
35226435,01/29/2014,02/05/2014
35231229,12/11/2013,02/17/2014
35328958,02/03/2014,03/03/2014
35335529,10/18/2013,11/25/2013
35372744,09/20/2013,11/08/2013
35568842,07/19/2013,07/31/2013
35712414,10/04/2013,10/18/2013
35813814,07/08/2013,09/10/2013
35932857,10/01/2013,11/22/2013
35996309,08/16/2013,09/16/2013
36014341,07/08/2013,08/02/2013
36020671,07/05/2013,08/23/2013
36070005,06/17/2013,08/19/2013
36073873,01/21/2014,03/26/2014
36450235,02/03/2014,03/27/2014
36457512,07/25/2013,11/07/2013
36505089,10/21/2013,12/09/2013
36516079,10/04/2013,12/18/2013
36622759,06/20/2013,08/01/2013
36692523,07/19/2013,09/23/2013
36732652,01/13/2014,03/17/2014
36737730,09/27/2013,10/18/2013
36801208,08/20/2013,09/13/2013
36806422,10/10/2013,12/12/2013
36848143,06/19/2013,07/30/2013
36912392,07/12/2013,07/18/2013
36941241,02/05/2014,02/18/2014
36943490,11/11/2013,01/06/2014
36972816,11/06/2013,12/19/2013
37089074,11/19/2013,12/09/2013
37261340,09/16/2013,12/04/2013
37305242,08/12/2013,12/11/2013
37340533,10/21/2013,02/06/2014
