"New ID","Placement start","Placement type","Legal status"
37536554,05/12/2014,"U6","L1"
37604928,04/13/2016,"U6","V2"
37640492,07/05/2013,"Q2","L1"
38013625,03/22/2013,"Q2","V2"
38141634,11/02/2012,"Q2","V2"
38141634,11/08/2012,"Q2","V2"
38198017,11/05/2013,"Q2","C1"
38288160,01/30/2017,"U6","C1"
38395931,12/13/2016,"U6","V2"
38454618,05/10/2016,"U6","L1"
38488533,04/26/2014,"K1","J1"
38533529,08/19/2014,"U6","L1"
38598999,01/30/2013,"H5","V2"
38802887,02/17/2014,"Q1","V2"
39252633,07/08/2016,"U6","L1"
39372300,10/17/2016,"U6","V2"
39560096,01/13/2014,"K2","V2"
39613632,03/26/2013,"Q2","C1"
39792075,08/12/2016,"U6","V2"
39808835,05/01/2015,"U3","V2"
39884339,05/27/2013,"Q2","V2"
40188749,01/20/2013,"Q2","L1"
40203463,01/19/2013,"Q2","L1"
40323661,04/27/2016,"U6","C1"
40517935,02/21/2017,"U6","C1"
40607286,06/26/2015,"H5","V2"
40760832,05/31/2013,"Q1","V2"
40977951,06/30/2015,"H5","V2"
41097215,10/29/2014,"K1","J1"
41204286,03/27/2017,"H5","V2"
41299317,02/10/2016,"U6","L1"
41299317,03/29/2017,"U6","L1"
41381637,02/23/2017,"H5","V2"
41480807,05/30/2014,"U6","L1"
41498557,08/02/2016,"H5","J1"
41498557,01/12/2017,"H5","V2"
41560557,01/11/2014,"Q2","L1"
41560557,03/05/2016,"U6","L1"
41560751,08/11/2016,"U3","V2"
41674375,06/08/2012,"H5","V2"
41701008,03/24/2017,"H5","V2"
41708406,11/12/2016,"K2","J1"
41735076,10/17/2013,"R5","J1"
41837779,11/13/2015,"U6","V2"
41909969,11/12/2014,"R2","V2"
41999629,07/03/2012,"Q2","V2"
42032397,07/31/2013,"Q2","V2"
42065865,02/05/2013,"K2","V2"
42141840,12/04/2013,"Q2","C1"
42198119,07/14/2016,"K1","J1"
42220710,11/27/2012,"Q2","L1"
42287823,07/17/2015,"R2","C1"
42289135,03/18/2014,"H5","V2"
42310619,07/27/2015,"U6","V2"
42602383,11/11/2013,"Q1","V2"
42731652,04/12/2012,"Q2","C1"
42761526,08/21/2014,"U3","V2"
42855944,06/26/2015,"U6","V2"
43079488,05/20/2013,"Q2","L1"
43118437,06/26/2015,"U6","V2"
43171819,06/30/2014,"U6","L1"
43171819,12/07/2016,"U3","V2"
43236052,06/02/2014,"U6","L1"
43326347,02/16/2015,"U6","L1"
43332342,05/11/2016,"H5","V2"
43688435,12/31/2014,"U6","L1"
43880929,08/22/2013,"Q1","V2"
44099190,11/26/2012,"Q2","C1"
44174133,05/14/2016,"U6","L1"
44296395,02/04/2017,"P1","J1"
44335174,06/20/2016,"U6","L1"
44351034,04/14/2015,"U6","V2"
44363580,06/23/2015,"U6","V2"
44622192,12/03/2013,"Q2","L1"
44657951,05/10/2016,"U6","L1"
44665982,12/09/2015,"U6","C1"
44670432,06/05/2013,"H5","V2"
44845521,06/26/2012,"Q2","C1"
44868994,03/26/2013,"Q2","C1"
44963593,02/11/2014,"H5","V2"
45129012,05/01/2015,"U6","L1"
45221659,12/22/2014,"H5","V2"
45298099,06/30/2014,"U6","L1"
45298099,12/07/2016,"U3","V2"
45356393,06/14/2016,"R2","C1"
45408152,06/11/2012,"R3","V2"
45453354,04/13/2012,"Q2","L1"
45492061,04/10/2012,"H5","V2"
45529025,04/16/2014,"U6","V2"
45529025,06/01/2014,"U6","V2"
45533808,05/08/2015,"U6","V2"
45568246,12/09/2014,"R2","C1"
45719422,10/30/2013,"Q2","V2"
45748349,11/28/2013,"Q2","C1"
45882103,04/15/2016,"U3","V2"
45907849,03/29/2014,"K1","J1"
46085760,03/01/2013,"K2","L1"
46088412,09/28/2015,"H5","V2"
46100968,11/07/2013,"Q2","C1"
46181304,12/12/2016,"U6","V2"
46290516,02/17/2015,"H5","V2"
46356794,12/01/2016,"U6","V2"
46501629,02/23/2013,"Q2","V2"
46596665,05/10/2014,"U6","V2"
46875820,01/13/2016,"U6","V2"
47086230,02/07/2013,"H5","V2"
47088795,06/13/2014,"U6","L1"
47092346,01/29/2017,"U6","L1"
47238301,11/05/2015,"H5","V2"
47248381,01/26/2015,"U6","L1"
47346388,09/12/2014,"U6","L1"
47478658,10/06/2015,"U6","V2"
47502510,03/18/2014,"Q2","L1"
47587596,11/14/2015,"U6","L1"
47587596,03/17/2016,"H5","V2"
47605923,05/16/2012,"Q2","C1"
47723771,11/26/2012,"Q2","C1"
47729627,08/11/2016,"U3","V2"
47836559,04/02/2012,"Q1","V2"
48023950,10/16/2013,"Q1","L1"
48030504,05/08/2015,"U6","V2"
48030504,08/19/2015,"U6","L1"
48082694,09/20/2013,"Q2","C1"
48113633,10/11/2012,"Q2","L1"
48279560,03/18/2014,"Q2","V2"
48404550,05/16/2016,"U6","L1"
48506524,07/27/2013,"R5","J1"
48544560,08/27/2015,"K2","J1"
48658483,02/08/2016,"K2","V2"
48683114,07/08/2016,"U6","L1"
48700245,10/30/2013,"Q2","L1"
48713456,06/13/2014,"U3","V2"
48725312,01/21/2015,"U6","L1"
48886657,07/02/2014,"U6","L1"
49037080,04/30/2013,"H5","V2"
49170698,10/26/2013,"Q2","L2"
49192415,12/11/2013,"Q2","L1"
49200141,07/08/2016,"U6","L1"
49234849,03/22/2013,"K2","V2"
49234849,09/23/2013,"K2","V2"
49250720,04/27/2012,"Q2","C1"
49838438,05/05/2016,"U6","C1"
49890262,07/20/2012,"R2","C1"
49894583,01/28/2014,"Q2","V2"
50307300,12/12/2013,"R5","J1"
50310410,10/10/2012,"H5","V2"
50364092,10/19/2016,"U6","V2"
50488603,07/24/2015,"U3","V2"
50495602,05/04/2012,"P1","C1"
50590251,10/27/2016,"U6","V2"
50667419,05/08/2015,"U6","L1"
50909847,09/05/2016,"H5","V2"
51128592,08/05/2012,"Q2","V2"
51191341,12/12/2014,"U6","V2"
51197542,09/07/2012,"K2","J1"
51364167,01/11/2017,"U6","V2"
51392042,11/10/2016,"R2","C1"
51447992,12/20/2016,"H5","V2"
