New ID,Age at referral,Gender,Ethnicity,Ward,Referral date
1839641,10,M,Black or Black British,Northumberland Park,11/08/2016
1864211,6,F,White,,04/23/2015
1865085,15,F,Mixed,,08/08/2016
1865777,15,M,,Woodside,05/17/2017
1877521,16,M,Black or Black British,Northumberland Park,10/02/2017
1886769,8,F,White,Northumberland Park,12/09/2016
1886769,9,F,White,Northumberland Park,03/31/2017
1899724,9,F,White,,12/07/2015
1905308,9,F,Asian or Asian British,Tottenham Hale,05/22/2015
1905308,9,F,Asian or Asian British,Tottenham Hale,10/15/2015
1919599,0,M,Not stated,St Ann's,12/05/2016
1922733,17,M,Black or Black British,Northumberland Park,04/11/2016
1925114,13,F,White,Bounds Green,05/18/2017
1928270,17,F,White,Northumberland Park,05/13/2014
1939856,0,Male,Mixed / multiple,Tottenham Hale,06/14/2012
1941351,0,F,White,Highgate,09/21/2017
1942772,7,M,Black or Black British,St Ann's,02/05/2016
1942772,7,M,Black or Black British,St Ann's,02/08/2016
1942772,8,M,Black or Black British,St Ann's,01/18/2017
1947472,9,F,White,Bounds Green,01/11/2017
1947472,9,F,White,Bounds Green,06/30/2017
1948279,1,F,White,White Hart Lane,02/15/2016
1951601,0,F,Black or Black British,Tottenham Hale,03/27/2015
1954898,3,M,Not stated,Alexandra,10/20/2016
1957380,14,M,Black or Black British,Seven Sisters,10/26/2015
1990130,11,M,Not stated,,05/27/2016
2014579,4,M,Not stated,Tottenham Green,05/31/2017
2015554,7,F,Black or Black British,Tottenham Hale,06/29/2017
2016379,6,M,Mixed,Northumberland Park,06/28/2016
2017535,1,F,Black or Black British,Seven Sisters,02/18/2015
2037420,11,F,Black or Black British,Bruce Grove,02/24/2017
2038588,8,M,Mixed,Northumberland Park,09/18/2017
2045970,11,F,White,Northumberland Park,08/29/2017
2055614,11,F,Mixed,Seven Sisters,06/15/2016
2055614,11,F,Mixed,Seven Sisters,02/07/2017
2072855,0,Female,Mixed / multiple,Woodside,08/07/2012
2073856,4,F,,,09/11/2015
2081053,17,M,Black or Black British,,06/30/2015
2089653,16,M,White,Bruce Grove,12/28/2016
2092257,3,F,White,Tottenham Green,08/23/2017
2100961,1,F,White,Crouch End,03/07/2017
2108219,14,F,Not stated,Harringay,05/24/2017
2125888,16,F,Black or Black British,St Ann's,03/13/2015
2131657,7,F,Black or Black British,Seven Sisters,03/01/2017
2140565,5,Male,Black / African / Caribbean / Black British,,03/01/2013
2140565,8,M,Black or Black British,,08/06/2016
2149969,13,F,White,Seven Sisters,01/19/2016
2149969,14,F,White,Seven Sisters,08/19/2016
2155425,4,F,Mixed,Tottenham Hale,11/16/2015
2155667,0,Female,No data,Bounds Green,05/31/2012
2174557,12,M,Asian or Asian British,Noel Park,05/12/2014
2179932,7,F,White,Bounds Green,02/26/2015
2198079,9,F,White,Noel Park,09/15/2015
2198079,11,F,White,Noel Park,03/14/2017
2202391,17,F,Black or Black British,Northumberland Park,05/04/2016
2209073,5,M,White,Northumberland Park,10/02/2017
2210056,14,Female,No data,Tottenham Green,01/21/2013
2215762,2,M,,,03/04/2015
2233057,17,M,Black or Black British,Harringay,07/01/2014
2240639,0,F,Black or Black British,,03/23/2017
2258946,9,M,White,Bounds Green,05/09/2017
2272386,17,Female,Unknown,,12/06/2012
2274801,0,M,Not stated,West Green,06/10/2014
2276531,3,F,Black or Black British,Tottenham Hale,07/24/2014
2276531,6,F,Black or Black British,Tottenham Hale,05/15/2017
2276568,2,F,White,Harringay,08/17/2016
2277517,0,F,White,White Hart Lane,11/20/2015
2278505,4,F,White,,12/10/2015
2278505,5,F,White,,07/06/2017
2278505,5,F,White,,09/28/2017
2302805,3,F,,,01/22/2015
2305963,5,M,White,Fortis Green,03/07/2016
2305963,7,M,White,Fortis Green,10/06/2017
2309145,5,M,White,,01/04/2017
2309145,6,M,White,,09/08/2017
2316292,4,F,White,Tottenham Green,10/22/2015
2333879,7,M,Not stated,White Hart Lane,09/29/2017
2345135,14,M,Black or Black British,Tottenham Hale,03/16/2016
2345952,3,F,,Seven Sisters,12/29/2015
2348252,7,Female,Mixed / multiple,St Ann's,04/17/2012
2348252,11,F,Mixed,St Ann's,08/15/2016
2350301,9,F,Black or Black British,West Green,10/11/2016
2373761,5,M,Mixed,West Green,06/20/2016
2373761,6,M,Mixed,West Green,09/28/2017
2382714,6,M,,,05/25/2017
2385607,2,M,Black or Black British,White Hart Lane,07/05/2016
2395285,11,F,White,Alexandra,04/14/2014
2417779,10,M,,Seven Sisters,09/15/2017
2421443,9,F,Asian or Asian British,,08/01/2016
2443938,4,M,Asian or Asian British,Woodside,04/06/2016
2448424,13,M,Black or Black British,,02/24/2015
2465737,0,F,Not stated,,12/06/2016
2467922,17,F,Chinese or other ethnic group,Noel Park,05/11/2016
2477752,12,M,White,Alexandra,10/07/2015
2477752,12,M,White,Alexandra,10/27/2015
2482837,4,F,White,Muswell Hill,01/26/2017
2482837,4,F,White,Muswell Hill,10/03/2017
2499017,3,F,Not stated,Bounds Green,10/09/2017
2499643,0,F,Black or Black British,Northumberland Park,06/18/2014
2504218,1,Male,White,Not Stated,02/06/2013
2515238,0,F,Black or Black British,Bruce Grove,12/04/2014
2515238,1,F,Black or Black British,Bruce Grove,12/02/2015
2515238,1,F,Black or Black British,Bruce Grove,07/11/2016
2529962,15,F,White,Noel Park,02/02/2016
2542420,16,F,White,Harringay,05/17/2016
2551683,3,F,Not stated,White Hart Lane,09/19/2017
2556344,3,F,White,Seven Sisters,06/05/2014
2556344,3,F,White,Seven Sisters,07/28/2014
2556344,6,F,White,Seven Sisters,08/29/2017
2559361,15,F,Mixed,Hornsey,10/13/2015
2559361,16,F,Mixed,Hornsey,01/28/2016
2562009,5,F,Black or Black British,Noel Park,05/09/2017
2607590,3,F,White,,05/28/2014
2608867,12,Male,Black / African / Caribbean / Black British,Harringay,09/05/2012
2610017,7,M,White,,02/14/2017
2616243,9,Female,Black / African / Caribbean / Black British,,09/06/2012
2616243,14,F,Black or Black British,Tottenham Hale,04/21/2017
2635080,7,M,Black or Black British,Northumberland Park,10/18/2017
2637896,15,M,Black or Black British,,10/20/2016
2637896,15,M,Black or Black British,,01/09/2017
2644841,5,F,Mixed,Bruce Grove,08/12/2016
2644841,6,F,Mixed,Bruce Grove,05/15/2017
2691866,15,M,Mixed,Fortis Green,12/10/2015
2691866,15,M,Mixed,Fortis Green,08/25/2016
2692441,3,F,Black or Black British,Northumberland Park,03/03/2016
2712286,10,M,Black or Black British,Noel Park,03/01/2017
2755769,16,F,White,Northumberland Park,02/25/2016
2756655,8,Female,Black / African / Caribbean / Black British,St Ann's,04/16/2012
2756655,11,F,Black or Black British,St Ann's,10/24/2014
2762164,3,M,White,Seven Sisters,06/16/2016
2771144,5,F,,Northumberland Park,11/02/2017
2788208,4,M,Black or Black British,,01/29/2015
2788208,6,M,Black or Black British,,09/22/2016
2789324,15,M,White,,10/22/2015
2793740,16,M,Black or Black British,,08/31/2016
2810903,8,Male,White,Tottenham Hale,08/02/2012
2810903,9,M,White,Tottenham Hale,06/23/2014
2813209,13,Male,Black / African / Caribbean / Black British,Tottenham Hale,06/11/2012
2820406,2,F,White,Tottenham Green,10/22/2015
2820406,2,F,White,Tottenham Green,03/31/2016
2823639,12,M,White,West Green,12/01/2015
2843010,2,Male,Black / African / Caribbean / Black British,Highgate,08/31/2012
2844602,14,Female,Black / African / Caribbean / Black British,Woodside,01/22/2013
2844602,17,F,Black or Black British,,02/25/2016
2846921,15,M,White,,04/17/2014
2852261,5,M,,Tottenham Green,05/17/2017
2858418,0,M,White,Bruce Grove,04/02/2015
2858418,1,M,White,Bruce Grove,02/05/2016
2866581,6,M,Black or Black British,,09/18/2014
2866581,7,M,Black or Black British,,12/17/2015
2873664,6,M,Black or Black British,Tottenham Hale,12/29/2015
