"New ID","Started Date","Assessment End Date"
23134601,03/24/2015,
23141128,03/16/2015,01/08/2015
23180927,10/02/2014,10/22/2014
23233501,11/17/2014,11/18/2014
23297081,05/01/2014,06/02/2014
23326045,02/06/2014,04/11/2014
23341860,05/14/2014,06/02/2014
23350290,03/25/2015,
23355456,05/09/2014,05/21/2014
23360198,08/08/2014,08/22/2014
23401885,05/19/2014,06/09/2014
23422987,05/29/2014,07/03/2014
23485400,03/28/2014,06/05/2014
23549464,05/21/2014,05/30/2014
23565779,09/26/2014,12/09/2014
23589759,12/08/2014,01/09/2015
23609361,03/05/2014,04/10/2014
23610430,08/01/2014,08/04/2014
23683275,04/09/2014,05/27/2014
23727838,04/01/2014,05/20/2014
23848683,03/26/2015,03/26/2015
23912573,07/07/2014,07/21/2014
23947511,05/21/2014,06/02/2014
23947511,04/25/2014,04/25/2014
23993319,07/30/2014,09/15/2014
24028992,03/31/2015,04/01/2015
24049192,03/17/2015,03/17/2015
24078568,07/31/2014,08/07/2014
24081115,11/26/2013,04/11/2014
24097591,07/31/2014,09/15/2014
24143841,03/23/2015,03/23/2015
24181157,03/25/2015,
24241139,07/14/2014,07/22/2014
24288047,05/14/2014,07/02/2014
24357715,05/07/2014,05/08/2014
24410866,06/16/2014,06/25/2014
24518194,10/24/2014,01/14/2015
24571107,11/04/2014,12/02/2014
24582472,09/09/2014,10/07/2014
24604045,10/03/2014,10/13/2014
24625186,04/10/2014,05/27/2014
24643773,10/16/2014,10/16/2014
24681099,02/16/2015,02/23/2015
24690922,06/11/2014,08/06/2014
24710263,07/01/2014,07/29/2014
24863384,07/15/2014,08/22/2014
24884750,01/30/2015,02/20/2015
24885351,02/12/2015,
24923782,02/07/2014,06/17/2014
25066179,11/18/2014,01/25/2015
25100115,06/09/2014,07/31/2014
25104595,07/07/2014,07/07/2014
25153566,07/02/2014,08/12/2014
25167046,03/18/2014,05/07/2014
25179481,05/01/2014,06/13/2014
25233327,07/04/2014,07/31/2014
25244372,10/27/2014,12/10/2014
25449432,05/01/2014,06/03/2014
25468076,01/06/2015,01/13/2015
25503403,08/14/2013,06/27/2014
25523505,11/24/2014,01/16/2015
25583850,02/27/2014,04/07/2014
25590744,10/27/2014,01/05/2015
25660389,05/20/2014,12/02/2014
25663679,11/25/2014,02/06/2015
25666515,01/22/2014,04/29/2014
25735980,10/14/2014,10/15/2014
25738882,11/17/2014,01/25/2015
25765059,11/14/2014,11/24/2014
25795681,09/25/2014,12/30/2014
25809574,03/23/2015,03/25/2015
25837030,09/17/2014,09/25/2014
25969949,04/01/2014,05/07/2014
26035692,07/04/2014,08/18/2014
26046226,08/26/2014,09/19/2014
26088938,08/20/2014,09/15/2014
26177817,08/20/2014,10/08/2014
26223279,05/07/2014,07/03/2014
26225182,12/17/2014,12/18/2014
26284438,03/31/2015,03/31/2015
26358055,03/27/2014,04/23/2014
26384064,01/14/2015,02/11/2015
26384064,03/05/2015,03/06/2015
26404052,04/10/2014,04/22/2014
26407641,09/26/2014,11/27/2014
26411732,07/09/2014,08/22/2014
26421652,05/15/2014,06/18/2014
26455896,12/16/2014,12/18/2014
26482632,05/08/2014,06/12/2014
26509092,11/20/2014,12/14/2014
26546850,08/07/2014,08/08/2014
26560232,07/01/2014,07/29/2014
26579089,03/31/2014,04/07/2014
26585676,09/23/2014,11/15/2014
26648960,02/20/2014,04/16/2014
26674310,09/18/2014,09/22/2014
26722067,10/27/2014,11/26/2014
26806456,10/07/2014,10/20/2014
26830642,05/01/2014,06/12/2014
26848305,12/16/2014,01/12/2015
26914513,11/25/2014,02/16/2015
26926501,06/26/2014,07/08/2014
26943726,07/07/2014,08/18/2014
26978280,12/08/2014,
27053561,12/09/2014,12/15/2014
27077337,03/28/2014,05/20/2014
27114461,02/10/2015,03/26/2015
27132760,07/04/2014,07/04/2014
27163160,12/27/2013,04/10/2014
27163160,06/18/2014,06/19/2014
27217302,03/25/2014,05/07/2014
27245945,05/21/2014,07/07/2014
27267851,10/06/2014,10/16/2014
27339240,03/23/2015,03/19/2015
27420553,10/28/2014,12/16/2014
27480060,07/04/2014,08/07/2014
27554889,05/29/2014,06/11/2014
27557445,08/28/2014,09/08/2014
27567631,03/10/2015,03/10/2015
27680887,05/01/2014,05/29/2014
